"skin, inner cell mass",skin of body
"skin, lymph node, tumor",skin of body
"skin, neoplasm",skin of body
skull,skeletal system
small intestinal epithelial villi,small intestine
small intestinal epithelium,small intestine
small intestinal lamina propria,small intestine
small intestine,small intestine
small intestine jejunum,small intestine
small intestine lamina propria,small intestine
small intestine LP,small intestine
small intestine tumor,small intestine
small intestine tumour,small intestine
solid tumors,other
somatic cells,other
somatic cells during chemical reprogramming stage II,other
somatosensory cortex,brain
sorted cell,other
spheroids,other
spinal cord,spinal cord
spinal cord (neonatal),spinal cord
spinal cord central canal region,spinal cord
spinal cord motor neuron organoid,spinal cord
spinal cords from E12.5 mice,spinal cord
spleen,spleen
spleen and lymph nodes,immune system
"spleen, mesenteric LN, inguinal LN, skin",immune system
"spleen, mesenteric lymph nodes, inguinal lymph nodes, skin",immune system
splenic dendritic cells,spleen
splenic T cells,spleen
splenocyte,spleen
splenocytes,spleen
stellate ganglia,peripheral nervous system
stem cell derived choroid plexus brain organoids,brain
stem cell-derived ETX embryoid,embryo
stem cell-derived oligodendrocyte progenitor cells,brain
stem cells,other
stembryo,embryo
stomach,stomach
stomach flush,stomach
striatum,brain
striatum - amygdala,brain
striatum - lateral striatum,brain
sub-cutaneous tumor,skin of body
subcutaneous inguinal adipose depot,adipose tissue
subcutaneous MC38 tumors,skin of body
subcutaneous melanoma,skin of body
subcutaneous tumor,skin of body
subcutaneous tumors,skin of body
subcutaneous tumour,skin of body
subcutaneous white adipose tissue,adipose tissue
subependymal zone,brain
subfornical organ (SFO),brain
subgalea,scalp
subgalea and epidural,scalp
subglottic tracheal tissue,respiratory system
"submandibular gland, spleen",other
submandibular salivary gland,exocrine gland
substantia nigra,brain
subventricular zone,brain
subventricular zone (adult brain),brain
superior colliculus,brain
supraclavicular brown adipose tissue,adipose tissue
syngeneic brain tumors,brain
syngeneic tumor model,other
synovial ankle/wrist joints,skeletal system
synovial fluid,skeletal system
synovial joint,skeletal system
synovial membrane,skeletal system
synovial tissue,skeletal system
synovium,skeletal system
synthetic-embryo,embryo
telencephalon medial pallium,brain
temporal cortex,brain
tendon injury,skeletal system
terminal ileum,small intestine
testes,testis
testis,testis
thalamic organoid,brain
thalamus,brain
third pharyngeal region cells,respiratory system
thoracic aorta,vasculature
thoracic wall,chest wall
thymic epithelial cells,immune system
thymic hematopoietic cells,immune system
thymic stromal cells,immune system
thymus,immune system
thyroid,endocrine gland
thyroid follicle organoid,endocrine gland
thyroid tumor,endocrine gland
thyroid tumor and adjacent normal thyroid,endocrine gland
tibialis anterior,musculature
tibialis anterior muscle,musculature
"tibialis anterior, gastrocnemius",musculature
tissue donors,other
tongue,tongue
tongue epithelium,tongue
tonsil,immune system
tonsil and blood,immune system
tonsillar cancer,immune system
tonsils,immune system
trabecular bone tissue,skeletal system
trabecular meshwork,eye
trachea,respiratory system
tracheal aspirate,respiratory system
tracheobronchial epithelium,respiratory system
transplanted cells,other
transplanted human intestinal organoids,intestine
transplanted mouse bone marrow,bone marrow
transverse colon,colon
traumatic ligament,skeletal system
trigeminal ganglia,peripheral nervous system
trophoectoderm,embryo
tubule epithelial cells,kidney
tumor,other
tumor (EMT6 tumors),other
tumor (schwannoma),peripheral nervous system
tumor (TIL),other
tumor and lymph nodes,other
tumor cells,other
tumor cells from glioblastoma,brain
tumor draining lymph nodes,lymph node
tumor infiltrating leukocytes,immune system
tumor microenvironment,other
tumor sample,other
tumor sample from OSCC patient,mucosa
tumor tissue,other
tumor tissue from EMT6 tumors,other
tumor tissue from FVB mouse mammary pad,breast
tumor-associated neutrophils from glioblastoma patients,immune system
tumor-distant normal lung,lung
tumor-draining lymph node (inguinal),lymph node
tumor-infiltrating lymphocytes,immune system
tumor-infiltrating lymphocytes (TIL),immune system
tumor-infiltrating lymphocytes (TIL) from NSCLC patients,immune system
tumor-infiltrating primary human CAR T cells,immune system
"tumor, CD45+ cells",immune system
tumour,other
tumour graft,other
tumour-infiltrating immune cells,immune system
turbinate,nose
umbilical cord,placenta
umbilical cord blood,blood
umbilical vein endothelial cell,vasculature
umbilical vein endothelial cell (HUVEC),vasculature
undifferentiated pleomorphic sarcoma,other
unguided neural organoid,brain
unsure,other
urine,urinary bladder
"urine-derived cells, peripheral blood mononuclear cells, tumor cells",other
urogenital sinus,reproductive system
uterine cells,uterus
uterine tissues,uterus
uterus,uterus
uterus (endometrium),uterus
uterus (myometrium),uterus
vagal ganglia,peripheral nervous system
vagus nerve ganglion,peripheral nervous system
vascular,vasculature
vascular allografts,vasculature
vastus lateralis,musculature
veingraft,vasculature
venous blood,blood
ventral lobe of the prostate,prostate gland
ventral midbrain,brain
ventral thalamic organoid,brain
ventricle,heart
ventricular cardiac fibroblasts,heart
ventricular tissue,heart
vestibular schwannoma,peripheral nervous system
vestibular schwannoma tumor,peripheral nervous system
villi,small intestine
visceral adipose tissue,adipose tissue
visual cortex,brain
visual cortex (VIS),brain
visual cortex (VISp),brain
vomeronasal neuroepithelium,sensory system
vomeronasal organ,sensory system
white adipose tissue,adipose tissue
white blood cells,blood
white matter,brain
white matter from frozen brain tissue,brain
white matter of the brain,brain
white matter tissues (corpus callosum and external capsules),brain
whole blood,blood
whole bone marrow cells,bone marrow
whole brain,brain
whole colon tumor,colon
whole cortex,brain
whole embryo,embryo
whole ileum,small intestine
"whole inner ear, only membranous labyrinth",sensory system
whole lung,lung
whole meniscus,skeletal system
whole pelvic ganglion,peripheral nervous system
whole placenta,placenta
whole skin,skin of body
whole testis,testis
whole uterus,uterus
whole-blood,blood
xenograft from murine bone marrow,bone marrow
yolk sac,yolk sac
yolk sac and placenta,yolk sac
2-cell mouse embryo,embryo
"3 layer spheroid channel 1, epithelial",other
3D co-cultured,other
3T3-L1 cell line (fibroblasts),other
"3T3-L1 cells (Immature adipocytes, adipocytes)",adipose tissue
Adult human dermal fibroblasts,skin of body
Area Postrema/NTS (Brain),brain
B cell,immune system
B cells from healthy controls,immune system
B cells from peripheral blood,blood
B-lymphoblastoid cell line,immune system
B16 tumors,skin of body
B16 tumour,skin of body
B16-F10 allografts,skin of body
BA9,brain
BA9+BA20+H,brain
BCC Tumor,skin of body
BM-MNCs,bone marrow
BM-MNCs (Bone Marrow Mononuclear Cells),bone marrow
Bone Marrow Derived Macrophages,bone marrow
Bone Marrow Derived Macrophages (BMDMs),bone marrow
Bone Marrow HSPC (CD34+),bone marrow
Bone Marrow Mononuclear Cells (BM-MNCs),bone marrow
Bone Marrow-Derived Macrophages (BMDMs),bone marrow
Brain (right hemisphere minus olfactory bulb and cerebellum),brain
C2C12,musculature
CAR T cells,immune system
CD11c+ bronchoalveolar lavage fluid (BALF),lung
CD34+ hematopoietic stem and progenitor cells,bone marrow
CD4+ and CD4+CD8+ T cells from B16 melanoma,immune system
CD45+ cells (from PBMC),blood
CD45+ cells from tumors of orthotopic PDAC bearing mice,immune system
"CD45+ cells, PBMC",blood
CD8+ OTI T cells,immune system
CML,bone marrow
CT26 control cells challenged with Anti-CTLA4,colon
CT26 flavopiridol treated cells,colon
CTC-derived xenograft tumor,blood
"Cortex, Hippocampus",brain
Cranial Region,head
D4 aggregate (derived from human embryonic stem cells),embryo
DDLPS_DD (retroperitoneum),abdomen
DDLPS_DDK,abdomen
DDLPS_sWD,abdomen
Dorsal Root Ganglion,peripheral nervous system
E10.5 yolk sac,yolk sac
E17.5 chimeric placenta,placenta
E7.5 Decidua,uterus
E7.5 Myometrium,uterus
E7.5 embryo,embryo
E8.5 embryo,embryo
EMT-6 breast cancer,breast
ES cell line-derived retinal organoid,eye
Embroid Body,embryo
Femur & Tibia,skeletal system
GBM Tissue,brain
GBM cells,brain
GBM tissue,brain
GEMM,other
GEMM (Genetically Engineered Mouse Model),other
GEMM and human biopsy tissue,other
GEMM tissue,other
"GEMM, PbCre_Pten/Rb 30 Weeks",other
"GEMM, PbCre_Pten/Rb/P53 12 Weeks",other
Galea+,scalp
"HCT116 CRC cells, NHLF, and EPC",colon
HEI-193 cells,other
Human Metastatic CRPC Biopsy,prostate gland
Human RA gastruloid,embryo
Islet of Langerhans,pancreas
Jurkat T cell line,immune system
K562,bone marrow
KPC46 tumors,pancreas
LNCaP cells,prostate gland
LNCaP cells (prostate cancer cell line),prostate gland
Lumbosacral spinal cord white matter,spinal cord
Ly6G+ tumor infiltrating myeloid cells,immune system
Lymph Node,lymph node
MC38 tumor,colon
MC38-OVA colon carcinoma,colon
MDA-MB-231 human breast cancer mouse model,breast
MEF (Mouse Embryonic Fibroblasts),embryo
Med411FH group 3 medulloblastoma PDX line,brain
Mesenteric Lymph Node (MLN),lymph node
NK cells,immune system
NKTs from patients,immune system
NPSCC (Non-keratinizing squamous cell carcinoma),respiratory system
NPSCC lymph node,lymph node
NRAS-mutated melanoma PDX in mice,skin of body
NT+ fraction,other
Natural Killer T cells,immune system
Neural Stem Cells (NSCs),central nervous system
NonAE liver explant,liver
Npm1c/Flt3ITD leukemia model,bone marrow
PDAC tissue,pancreas
Peripheral B cells (CD3-CD14-CD15-CD56-CD19+IgD-),blood
Peripheral Blood (PB),blood
Peripheral Retina,eye
Peripheral blood (Monocyte-derived macrophages),blood
Peripheral blood T cells,blood
Peyer's patch in terminal ileum,small intestine
Peyer's patches,small intestine
Peyers patches,small intestine
Pre-Frontal Cortex,brain
Primary human CD34+ hematopoietic stem and progenitor cells,bone marrow
Py8119 tumor,breast
PyMT Tumor,breast
RBC depleted UCB,blood
Ruga tissue from anterior palate,mucosa
SCC Tumor,skin of body
SGBS cell line,adipose tissue
SW480 CRC cells grown as spheroids,colon
"SW480 CRC cells, NHLF, and EPC",colon
Schwannoma specimens,peripheral nervous system
"Sorted CD4+, CD8+, and CD4+CD8+ T cells from patient resections",immune system
"Spleen, skin draining lymph node (sLN), mesenteric lymph node (mLN)",immune system
Striatum LGE (Lateral Ganglionic Eminence),brain
T cells/tumor,immune system
T lymphocytes,immune system
TILs from organoid-derived primary colorectal cancer,immune system
TPS cell,other
Tetramer-sorted tumor infiltrating CD8+ T cells,immune system
Transmural LV Apex,heart
U2OS cell lines,skeletal system
WDLPS (Well-Differentiated Liposarcoma),adipose tissue
ZSG+ sorted peripheral blood,blood
adenoma,other
adenoma (pituitary adenoma),endocrine gland
adipose,adipose tissue
adipose-derived regenerative cells,adipose tissue
adjacent liver tissues,liver
"adjacent nonmalignant tissues, thyroid carcinoma",endocrine gland
adjacent normal tissue,other
adjacent normal tissue from esophageal carcinoma,esophagus
adjacent normal tissue removed from esophageal carcinoma,esophagus
adrenal glands,adrenal gland
adult human dermal fibroblasts,skin of body
adult mouse dentate gyrus,brain
adult prefrontal cortex,brain
adult proximal small intestine,small intestine
airway epithelium,respiratory system
airway organoid,respiratory system
airway organoids,respiratory system
allograft,other
amniotic fluid,placenta
amygdala,brain
anterior nares (mucus),nose
anterior pituitary,endocrine gland
aortas,vasculature
aortic arch,vasculature
aortic root,vasculature
aortic sinus,vasculature
aortic valve,heart
arcuate nucleus of the hypothalamus,brain
arterial endothelial cells,vasculature
ascites,other
basal cell carcinoma tumor,skin of body
biliary organoids,liver
bladder cancer tissues,urinary bladder
blastoid,other
blood cells,blood
blood vessels,vasculature
bone marrow (enriched for stroma markers),bone marrow
bone marrow HSPC (CD34+),bone marrow
bone marrow and bone,bone marrow
bone marrow aspirates,bone marrow
bone marrow derived macrophages,bone marrow
bone marrow derived macrophages (BMDMs),bone marrow
bone marrow hematopoietic stem and progenitor cells,bone marrow
bone marrow hematopoietic stem and progenitor cells (HSPCs),bone marrow
bone marrow mononuclear cells,bone marrow
bone marrow mononuclear cells (BM-MNCs),bone marrow
"bone marrow, blood",bone marrow
"bone marrow, femur",bone marrow
bone marrow-derived macrophages,bone marrow
bone marrow-derived macrophages (BMDMs),bone marrow
bone metastases,skeletal system
brain (cerebral arteries),brain
brain (occipital cortex),brain
brain (parabrachial nucleus),brain
brain (right hemisphere minus olfactory bulb and cerebellum),brain
brain SVZ,brain
brain and spinal cord,central nervous system
brain cortex and subdural meninges,central nervous system
"brain frontal cortex, parenchyma",brain
brain lateral amygdala,brain
brain organoids + microglia,brain
brain regions (PrL and IL),brain
brain striatum,brain
brain tissue,brain
brain tumor cell line,brain
"brain, amygdala",brain
"brain, lung, spleen",other
"brain, specifically hippocampus",brain
"brain, specifically retrograde labeled vmPFC neurons",brain
"brain, spleen, lung, skin",other
breast epithelial,breast
breast milk,milk
breast; mammary gland,breast
cardiac biopsy,heart
cardiac fibroblasts,heart
cardiac progenitors and motor neuron progenitors,other
cauda epididymidis,reproductive system
cecum,large intestine
celiac lymph node,lymph node
cell line (HA1E),kidney
cerebellar tumour tissue,brain
cervical esophagus,esophagus
chemoresistant tumor from MIBC recipient mice treated with E64,urinary bladder
chemoresistant tumor from MIBC recipient mice treated with Vehicle,urinary bladder
chorionic villi,placenta
"chorionic villi, amniocytes",placenta
choroid plexus,brain
choroid plexus MHCII high BAMPs,brain
clear cell renal cell carcinomas,kidney
cochlear,sensory system
cochlear duct,sensory system
cochlear explant,sensory system
colon adenocarcinoma,colon
colorectal cancer cells,colon
colorectal tumor,colon
colorectal tumors,colon
common bile duct,liver
conjunctival tissue,eye
corpus epididymidis,reproductive system
cortex of kidney,kidney
cortical tissue,brain
cultured cells (human adult dermal fibroblasts - HADF),skin of body
"cultured cells, human adult dermal fibroblasts (HADF)",skin of body
decidua and myometrium,uterus
decidua and placenta,placenta
deep cervical lymph nodes MHCII high BAMPs,lymph node
derived from human induced pluripotent stem cells,other
derived from human pluripotent stem cells,other
diaphragm metastasis of intestinal adenocarcinoma,intestine
distal lung,lung
dorsal root ganglion,peripheral nervous system
"dorsal root ganglion, lumbar 5",peripheral nervous system
draining lymph node and tumor,lymph node
duodenal biopsy and peripheral blood,small intestine
duodenal organoids,small intestine
duodenal organoids from endoscopic biopsies,small intestine
dural MHCII high BAMPs,central nervous system
dural endothelial cells,central nervous system
dural immune cells,central nervous system
ear pinna skin,skin of body
"ear pinna skin, healing ear punch",skin of body
embroid body,embryo
embryo (viscera),embryo
embryo head,embryo
embryo limb,embryo
embryo trunk,embryo
embryo viscera,embryo
embryoid body,embryo
embryonic cortex,brain
embryonic distal forelimb mesenchyme,forelimb
embryonic fibroblasts,embryo
embryonic heart at E11.5,heart
embryonic kidneys,kidney
embryonic stem cells (H1 cell line),embryo
embryonic tissue,embryo
endometrial adenocarcinoma,uterus
endometrial tumor,uterus
endothelial cells (ECFC-ECs),vasculature
epidermal skin,skin of body
epididymal fat pad,adipose tissue
epithelial cells,other
esophageal biopsies,esophagus
esophageal biopsy,esophagus
esophageal carcinoma adjacent normal tissue,esophagus
esophageal carcinoma adjacent tissue,esophagus
esophageal epithelium,esophagus
esophageal mucosal biopsy,esophagus
esophageal squamous-cell carcinoma (ESCC) tumor and adjacent normal tissue,esophagus
excised surgical tissue from seton intervention,other
excitatory neurons,brain
excitatory neurons plated on primary mouse glia,brain
external anal sphincter,digestive system
extraembryonic mesoderm cells,embryo
extrahepatic cholangiocarcinoma,liver
facial epidermis,skin of body
fallopian tube and placenta,other
femur & tibia,skeletal system
fetal brain,brain
fetal thymus,immune system
foamy macrophage,immune system
foreskin,skin of body
full thickness skin,skin of body
galea,scalp
gastric (antrum),stomach
gastric and gastric tumor (antrum),stomach
gastric and gastric tumour (corpus),stomach
"gastric stem cells, endocrine progenitors, GINS precursors/organoids",stomach
gastric tumour,stomach
genetically engineered mouse model,other
giant cell tumor of bone,skeletal system
giant papillae,eye
gingiva,mucosa
glioblastoma (GBM) cells,brain
glioblastoma tissue,brain
glomeruli,kidney
goblet cells,mucosa
gonad,reproductive system
granuloma,other
great saphenous vein,vasculature
hESC-derived trunk neural crest cells,embryo
hPSC derived liver organoid,liver
hard palate soft tissue,mucosa
healthy epidermis,skin of body
healthy liver explant,liver
heart allograft,heart
heart and mediastinal lymph nodes,other
hepatic tissue,liver
hepatocellular carcinoma tissues,liver
hiPSC derived spinoid,other
hiPSC-derived microglia,brain
high grade ovarian serous adenocarcinoma cells,ovary
hind limb muscle,hindlimb
hindlimb bones,hindlimb
hippocampal formation,brain
hippocampal microglia,brain
human cerebral organoid transplanted into mouse brain,brain
human embryonic stem cell derivatives,embryo
human embryonic stem cell derived cells,embryo
human gastruloid,embryo
human induced pluripotent stem cells,other
human myocardium,heart
human pluripotent stem cells,other
hypothalamic tissue,brain
"hypothalamus, spleen",other
"iPS-differentiated, in vitro cultured NGN2-induced Glutamatergic neuron",brain
iPSC cortical organoids,brain
"iPSC, Day 100 of in vitro differentiation",other
iPSC-derived,other
iPSC-derived cardiac organoids,heart
iPSC-derived islets,pancreas
iPSC-derived microglia cells,brain
immortalized human cardiac fibroblasts (iHCF),heart
immune and non-immune cells,immune system
"in vivo, 14 days post-transplantation",other
induced pluripotent stem cells (hiPSCs),other
induced pluripotent stem cells (hiPSCs) at day 0,other
induced pluripotent stem cells (iPSC),other
inguinal subcutaneous adipose tissue,adipose tissue
initial segment of the murine epididymis,reproductive system
inner ear organoid,sensory system
intermediate mesoderm cells,embryo
interneurons,brain
interscapular brown adipose tissue (iBAT),adipose tissue
intestinal crypt,intestine
intestinal epithelial cells from terminal ileum mucosal biopsies,small intestine
intestines,intestine
intestines (small intestine and colon),digestive system
intrahepatic cholangiocarcinoma,liver
intramedullary canal,bone marrow
ischemic brain,brain
islet of Langerhans,pancreas
islets,pancreas
jejunum,small intestine
joint (infrapatellar fat pad and synovium),skeletal system
kidney tubuloids,kidney
knee joint cartilage,skeletal system
large intestine lamina propria,large intestine
laryngeal SCC,respiratory system
lateral ganglionic eminence,brain
leaf,leaf
left ventricle apex,heart
leiomyosarcoma,musculature
limbal epithelium,eye
lipoma,adipose tissue
liver (CD3+ cells),liver
liver allograft,liver
liver allograft tissue,liver
liver metastases,liver
liver metastasis,liver
liver with CRC metastases,liver
lumbosacral spinal cord white matter,spinal cord
lung and trachea,respiratory system
lung cancer,lung
lung carcinoma cell line,lung
lung carcinoma cell line (A549),lung
lung epithelial cells,lung
lung lymph node,lymph node
lung metastasis infiltrating cells,lung
lung organoid,lung
lung tumor tissue,lung
lung tumour,lung
"lung, BAL",lung
"lung, BAL (Broncho-Alveolar Lavage)",lung
lungs (from TC-1 tumor bearing mice),lung
mammary epithelial cell,breast
mammary gland (macrophage-depleted),breast
mammillary body neurons,brain
mandibular alveolar bone,skeletal system
mandibular arch epithelium,head
mandibular arch epithelium and mesenchyme,head
mandibular first premolars,head
medial habenula,brain
medulloblastoma PDX line,brain
melanoma PDX,skin of body
melanoma metastasis,skin of body
meninge,central nervous system
meningioma,brain
mesentery metastasis of gastric adenocarcinoma,digestive system
mesothelioma tumor,pleura
mesothelium,other
metastatic CRPC biopsy,prostate gland
microglia,brain
midbrain dopaminergic neuron,brain
midbrain dopaminergic neuronal differentiation,brain
midbrain organoid,brain
middle turbinate,nose
milk,milk
mitral valve,heart
mixture of cell lines,other
monocytes,blood
monocytes derived macrophages,blood
motor neuron progenitor cells,central nervous system
motor neurons from spinal cords of E12.5 mice,spinal cord
mouse brain (xenografted human microglia),brain
mouse embryonic stem cell,embryo
mouse prostate tumor,prostate gland
mouse subcutaneous tumor,skin of body
murine YUMMER1.7 intradermal melanoma,skin of body
murine brain,brain
muscle stem cells,musculature
nasal associate lymphoid tissue and olfactory epithelium,nose
nasal cells,nose
nasal endothelial cells,nose
nasal epithelium,nose
nasal scraping,nose
nasal scrapings,nose
neoplasm (tumor tissue from pancreatic ductal adenocarcinoma),pancreas
neural progenitors derived from H9 cell line,brain
neural progenitors derived from H9 human pluripotent stem cells,brain
neuroblastoma,peripheral nervous system
neuroblastoma tumors,peripheral nervous system
neuronal progenitor cells,brain
non-malignant gastric mucosa,stomach
non-tumour kidney,kidney
nonlesional skin,skin of body
normal adjacent tissues,other
normal gland,other
normal gland plus adenoma,other
normal lung,lung
normal pancreatic ducts,pancreas
normal skin,skin of body
olfactory neuroblastoma,nose
oral epithelial cells,mucosa
ovarian cancer,ovary
ovarian cancer (cell line OVCAR3),ovary
ovarian cancer cell line (OVCAR3),ovary
ovarian serous adenocarcinoma,ovary
ovarian serous adenocarcinoma cells,ovary
ovarian tumour,ovary
palatal shelves,mucosa
pancreas (3D in vitro vascular network),pancreas
pancreatic cancer,pancreas
pancreatic cancer-associated fibroblasts,pancreas
pancreatic ductal adenocarcinoma,pancreas
pancreatic ductal adenocarcinoma tumor microenvironment,pancreas
pancreatic fluid,pancreas
pancreatic islet and duct graft,pancreas
pancreatic islets of Langerhans,pancreas
pancreatic tumors,pancreas
pancreatic β-cells,pancreas
parabrachial nucleus,brain
parahippocampus,brain
paraventricular thalamus,brain
parietal bone,skeletal system
patient-derived organoid,other
pediatric thymus,immune system
percutaneous tumor grafts,other
peripheral blood T cells,blood
peripheral blood cells,blood
peripheral choroid,eye
peripheral retina,eye
peritoneal lavage,abdomen
peritoneum metastasis,abdomen
peritumoral brain,brain
peritumoral fat,adipose tissue
pigmented layer of retina,eye
placenta/decidua,placenta
placenta/decidua/myometrium,placenta
plaque,other
pluripotent stem cells,other
popliteal lymph nodes,lymph node
popliteal lymph nodes (PLNs),lymph node
postnatal cortex,brain
primary focus,other
primary human CD34+ hematopoietic stem and progenitor cells,bone marrow
primary placenta derived hTSC,placenta
primary prostate cancer,prostate gland
primary tumor from pancreatic ductal adenocarcinoma,pancreas
primed induced pluripotent stem cells,other
primitive heart tube,heart
primitive heart tube and surrounding area,heart
prostate cancer cells,prostate gland
prostate tumor,prostate gland
pulmonary artery,vasculature
pulmonary immune cells,lung
pulmonary metastases of B16 melanoma,lung
putamen,brain
quadriceps,hindlimb
renal cortex,kidney
renal glomerulus,kidney
renal medulla,kidney
retina endothelia cells,eye
retinal pigment epithelial cell,eye
retinal pigment epithelium (RPE) cells,eye
retinal pigment epithelium and choroid,eye
"retinal pigment epithelium, macula region",eye
ruga tissue from anterior palate,mucosa
sciatic nerves,peripheral nervous system
seizure-affected brain tissue,brain
"seizure-affected brain, frontoparietal operculum",brain
"seizure-affected brain, left parietal lobe",brain
"seizure-affected brain, right frontal",brain
"seizure-affected brain, right inferior posterior frontal gyrus",brain
"seizure-affected brain, right temporal lobe",brain
"seizure-affected brain, right temporal lobe lateral cortex",brain
sensory epithelium,sensory system
skeletal muscle metastasis,musculature
skin (3D in vitro vascular network),skin of body
skin (derived from dermal fibroblasts),skin of body
skin and kidney,other
skin from mammoplasty surgery,skin of body
skin organoid,skin of body
"skin, tumor",skin of body
skin/blood,other
small intestine (jejunum),small intestine
small intestine epithelial cell,small intestine
"small intestine, jejunum",small intestine
soft palate,mucosa
somitoids,embryo
sorted T cells from B16 melanoma resections,immune system
sorted cells from pooled embryos,embryo
sorted leukemic stem cells and blasts pooled,bone marrow
spinal cord meninges,spinal cord
spinal cord segment at T10,spinal cord
spinal cord segment at injury epicenter (T10),spinal cord
spinal cords,spinal cord
spinal cords micro-dissected from E12.5 mice,spinal cord
"spinal cords, sorted Hb9:gfp+ motor neurons",spinal cord
spinal metastasis,spinal cord
"spleen, colon, skin",other
"spleen, colon, skin, small intestine",other
"spleen, hypothalamus",other
"spleen, liver, colon",other
"spleen, skin draining lymph node (sLN), mesenteric lymph node (mLN)",immune system
"spleen, skin draining lymph node, mesenteric lymph node",immune system
"spleen, skin draining lymph nodes (sLNs), mesenteric lymph nodes (mLNs)",immune system
stem cell,other
stem cell-derived neurons,brain
subcutaneous PDAC tumor,pancreas
subcutaneous adipose tissue,adipose tissue
"subcutaneous adipose tissue, stromal vascular cells",adipose tissue
subdissected cardiac crescent and surrounding area,heart
subdissected heart tube and surrounding area,heart
subdural meninges,central nervous system
submandibular gland,exocrine gland
superior-medial region of the head of the middle turbinate,nose
surgical tissue from seton intervention,other
synthetic embryo model,embryo
telencephalic organoid,brain
teratomas,other
terminal ileum mucosal biopsies,small intestine
testicular germ cell tumor,testis
tetramer-sorted tumor infiltrating CD8+ T cells,immune system
thoracic and abdominal aorta,vasculature
thoracic esophagus,esophagus
thymic epithelial cells (TECs),immune system
tibia,skeletal system
tibial growth plate,skeletal system
tibialis anterior (skeletal muscle),musculature
tibialis anterior and gastrocnemius,musculature
tonsillar tissue,immune system
total colon,colon
transmural LV apex,heart
transmural tissue samples from the left ventricle apex,heart
trigeminal nerve,peripheral nervous system
trophoblast organoids,placenta
trophoblast organoids derived from chorionic villi with trisomy 21,placenta
trunk tissues,other
tumefactive demyelinating lesion,brain
tumor (Schwannoma),peripheral nervous system
tumor (subcutaneous MC38-OVA tumor),colon
tumor adjacent normal renal tissues,kidney
tumor draining lymph node,lymph node
tumor infiltrating CD4+ T cells,immune system
tumor infiltrating CD8+ T cells,immune system
tumor infiltrating T cells,immune system
tumor infiltrating immune cells,immune system
tumor tissue and flank skin,other
tumor tissue inoculated SB28 tumors,brain
tumor tissue inoculated with SB28 tumors,brain
tumor tissue of esophageal carcinoma,esophagus
"tumor, skin",skin of body
"tumor, spleen",other
tumor-infiltrating CD45+ cells,immune system
tumor-infiltrating CD8+ T cells,immune system
tumor-infiltrating immune cells,immune system
tumor-infiltrating lymphocytes from MC38 tumors,immune system
upper bronchial airways,respiratory system
urinary bladder,urinary bladder
"uterus, kidney, liver, lung, stomach",other
utricle (inner ear),sensory system
vascular meniscus,vasculature
vascularized micro-tumor model,other
vascularized micro-tumor model of human colorectal cancer,colon
vasculature,vasculature
ventral midbrain-hindbrain,brain
ventral prostate lobe,prostate gland
ventromedial prefrontal cortex,brain
ventromedial prefrontal cortex neurons,brain
villous tissue of fetal placenta,placenta
"visceral adipose tissue, spleen",other
"visceral adipose tissue, stromal vascular cells",adipose tissue
vmPFC neurons,brain
whole aorta,vasculature
whole bone marrow,bone marrow
whole brain (excluding olfactory and cerebellum),brain
"whole embryo without tail, limbs, and liver",embryo
whole embryos,embryo
"whole embryos, E.8 (0-2 somites) stage",embryo
whole heart - 14 days post MI,heart
whole heart - 4 days post MI,heart
whole heart - 7 days post myocardial infarction,heart
whole heart - SHAM,heart
whole meninges,central nervous system
whole olfactory epithelium,nose
xenograft,other
xenograft tumor,other
xenografts,other
"AT2 YFP+ cells, 16 weeks after Ad5SPC-Cre",lung
B16F10 Tumor,skin of body
BA4,brain
BA9+BA4+SC,central nervous system
Bilateral V-SVZ of 4 littermates at postnatal day 0,brain
Carotid Artery,vasculature
Differentiating cells Day 14 Control,other
ES-derived cells,embryo
EpiSC,embryo
EpiSC (Epiblast Stem Cells),embryo
Gastrocnemius muscle,musculature
Gonad and mesonephros,embryo
H,other
Human bronchial epithelial cells (HBE cells),lung
Islets of Langerhans,pancreas
LLC1 primary tumor,lung
MDS Bone marrow,bone marrow
NKT cells,immune system
Oligodendrocyte Progenitor Cells,central nervous system
Peripheral blood mononuclear Cells,blood
Small Intestine Lamina Propria (SI LP),lamina propria
Subcutaneous Inguinal adipose depot,adipose tissue
Tibialis Anterior (TA),musculature
Tibialis anterior muscle,musculature
abdominal skin,skin of body
anterior part of stembryo,embryo
antral epithelium and stromal cells,stomach
aorta and aortic sinus plaque,vasculature
aortic arch and root,vasculature
bilateral V-SVZ of 4 littermates,brain
bone marrow (right hip),bone marrow
bone marrow (tumor site),bone marrow
bone marrow cells (tumor site),bone marrow
brain (LHA),brain
brain (dentate gyrus),brain
brain (striatum),brain
"brain tissue, including gray matter, white matter, and MS plaques",brain
"brain tissue, white matter",brain
"brain, striatum",brain
breast cancer cell lines,breast
bronchoalveolar cells,lung
cancer cell lines,other
cell culture,other
corneal endothelium,eye
coronary,vasculature
distal thrombus from pulmonary artery,vasculature
distal thrombus tissue,vasculature
"ductal carcinoma, mammary gland",breast
ear,sensory system
ear epidermis,sensory system
embryonic stem cells and gastruloids,embryo
eyes,eye
fallopian tube,fallopian tube
fetal cardiomyocytes,heart
fetal forelimb,forelimb
fetal liver and bone marrow,embryo
fetal mouse intestine,intestine
